;;Strom
Baden-Württemberg;2010;261853
Bayern;2010;296338
Berlin;2010;51591
Brandenburg;2010;49251
Bremen;2010;17314
Hamburg;2010;46634
Hessen;2010;134138
Mecklenburg-Vorpommern;2010;23109
Niedersachsen;2010;190568
Nordrhein-Westfalen;2010;433321
Rheinland-Pfalz;2010;101395
Saarland;2010;28737
Sachsen;2010;72845
Sachsen-Anhalt;2010;52885
Schleswig-Holstein;2010;51318
Thüringen;2010;44942
Baden-Württemberg;2011;246407
Bayern;2011;304097
Berlin;2011;50208
Brandenburg;2011;54694
Bremen;2011;16901
Hamburg;2011;46442
Hessen;2011;131290
Mecklenburg-Vorpommern;2011;23299
Niedersachsen;2011;185220
Nordrhein-Westfalen;2011;438919
Rheinland-Pfalz;2011;101361
Saarland;2011;29183
Sachsen;2011;75302
Sachsen-Anhalt;2011;55442
Schleswig-Holstein;2011;50983
Thüringen;2011;46495
Baden-Württemberg;2012;244305
Bayern;2012;282599
Berlin;2012;49917
Brandenburg;2012;57133
Bremen;2012;17444
Hamburg;2012;45217
Hessen;2012;131834
Mecklenburg-Vorpommern;2012;23295
Niedersachsen;2012;187808
Nordrhein-Westfalen;2012;439225
Rheinland-Pfalz;2012;100426
Saarland;2012;31237
Sachsen;2012;79135
Sachsen-Anhalt;2012;56449
Schleswig-Holstein;2012;50466
Thüringen;2012;45513
Baden-Württemberg;2013;247718
Bayern;2013;279128
Berlin;2013;49027
Brandenburg;2013;55685
Bremen;2013;17326
Hamburg;2013;44801
Hessen;2013;131408
Mecklenburg-Vorpommern;2013;24475
Niedersachsen;2013;192206
Nordrhein-Westfalen;2013;431449
Rheinland-Pfalz;2013;103474
Saarland;2013;29234
Sachsen;2013;78022
Sachsen-Anhalt;2013;54917
Schleswig-Holstein;2013;51563
Thüringen;2013;45125
Baden-Württemberg;2014;236731
Bayern;2014;272373
Berlin;2014;48326
Brandenburg;2014;58640
Bremen;2014;17269
Hamburg;2014;44702
Hessen;2014;127416
Mecklenburg-Vorpommern;2014;24511
Niedersachsen;2014;184680
Nordrhein-Westfalen;2014;441634
Rheinland-Pfalz;2014;100962
Saarland;2014;28924
Sachsen;2014;79093
Sachsen-Anhalt;2014;53870
Schleswig-Holstein;2014;48974
Thüringen;2014;45021
Baden-Württemberg;2015;237206
Bayern;2015;278440
Berlin;2015;48096
Brandenburg;2015;59189
Bremen;2015;17234
Hamburg;2015;44518
Hessen;2015;125796
Mecklenburg-Vorpommern;2015;...
Niedersachsen;2015;182687
Nordrhein-Westfalen;2015;427938
Rheinland-Pfalz;2015;101668
Saarland;2015;28632
Sachsen;2015;79107
Sachsen-Anhalt;2015;54546
Schleswig-Holstein;2015;47791
Thüringen;2015;46178
Baden-Württemberg;2016;237512
Bremen;2016;17211
Hamburg;2016;44728
Hessen;2016;124596
Niedersachsen;2016;179551
Rheinland-Pfalz;2016;99781
Sachsen;2016;80029
Sachsen-Anhalt;2016;61040
Schleswig-Holstein;2016;45282
