,ac,dc_norm,dc
Advent_Solar_AS160__2006_,1208.3606488264709,1284.135192813463,209259.43500019607
Advent_Solar_Ventura_210__2008_,1122.8653622568283,1186.4946811347822,245365.7949145237
Advent_Solar_Ventura_215__2009_,1185.285117599536,1250.5080818589038,270235.79689617467
Aleo_S03_160_2007_E_,1177.5235033594224,1252.8578805354816,202937.91948913728
Aleo_S03_165_2007_E_,1178.9059538953925,1253.2146432860206,208622.64166782386
Aleo_S16_165_2007_E_,1164.0405686586541,1237.6846228764828,204173.40612819613
Aleo_S16_170_2007_E_,1165.7768927558893,1238.387079314973,210408.15671101052
Aleo_S16_175_2007_E_,1167.4492636958082,1239.077705149715,216722.12509691608
Aleo_S16_180_2007_E_,1169.0620853617731,1239.7567960941783,223115.311322681
Aleo_S16_185_2007_E_,1170.5764345252676,1240.424630964474,229288.77175989014
AstroPower_AP_100__2001_,1114.47783566426,1210.908656122134,120491.99862724166
AstroPower_AP_100_2000_E_,1144.067972218628,1241.9585005493395,123972.29752483507
AstroPower_AP_110__2001_,1100.51168609588,1193.8721981417139,124226.34199489922
AstroPower_AP_110_1999_E_,1152.8201762198719,1245.0004644878422,137223.95119584995
AstroPower_AP_120__2001_,1140.0189009669093,1231.5202285959344,135056.38999729318
AstroPower_AP_120_1999_E_,1157.8726092481938,1245.5097462416722,149448.7144515382
AstroPower_AP_1206__1998_,1148.9972093582155,1241.9758014329973,134692.82213476114
AstroPower_AP_130__2001_,1142.0630630728867,1225.477937656555,156680.0503808534
AstroPower_AP_130_2002_E_,1140.201268929822,1222.5196345949303,159428.78554752487
AstroPower_AP_50__2001_,1051.0871661567141,1211.981703054326,57957.6922290797
AstroPower_AP_50_2000_E_,1077.9834628614476,1236.1492658551194,61931.07821934148
AstroPower_AP_65_1999_E_,1108.932595952952,1239.6626876182652,80826.00723271091
AstroPower_AP_75__2001_,1058.7278340596154,1182.8856499272954,80093.54222227215
AstroPower_AP_75__2003_,1073.1461446900482,1194.7011918590028,81863.2672805149
AstroPower_AP_75_2003_E_,1081.348209440532,1195.6984365820279,89438.24305633569
AstroPower_AP_8225__1997_,1068.6915951820456,1179.8853075740924,93755.10240220647
AstroPower_APX_110_SL__2002_,1052.033659806107,1139.1356442622969,123155.59973525855
AstroPower_APX_110_SL_2002_E_,1052.5213639594108,1138.7785817128402,125037.88827206983
AstroPower_APX_120__2001_,1082.4785978516918,1171.2866569692028,126907.50373862473
AstroPower_APX_120_2002_E_,1068.0621088192227,1151.2502316357954,138011.87776849917
AstroPower_APX_130__2001_,1065.7378583489333,1147.9907845986986,139715.98884142766
AstroPower_APX_130_2002_E_,1075.74202070466,1155.2946169449192,150246.06493368675
AstroPower_APX_140_2002_E_,1081.7753514755198,1158.345581043714,161855.62803923816
AstroPower_APX_40_2002_E_,964.2576758719564,1141.4357533660418,45657.430134641676
AstroPower_APX_45__2001_,987.5102726269599,1145.7416472316022,53591.83640092874
AstroPower_APX_45_1999_E_,1017.4846178728582,1185.3332832090696,53316.291078743954
AstroPower_APX_45_2002_E_,984.9932185047404,1147.7609385796577,51752.540720556775
AstroPower_APX_50_2002_E_,998.4774724026428,1148.6217342484097,57890.53540611985
AstroPower_APX_65__2001_,1024.257637440953,1153.3195017563598,72381.98593437862
AstroPower_APX_65_2002_E_,1035.7890788558193,1162.0436149271095,75765.24369324754
AstroPower_APX_75_2002_E_,1052.3464048355788,1167.3706657083585,87319.32579498521
